"No","種別","種類","レベル","言語活動","カテゴリー","第1トピック","JF Can-do (日本語)","JF Can-do (English)"
"115","JF","活動","A2","受容","音声メディアを聞く","住まいと住環境","Can listen on the radio simple information about one's town or a nearby town, and understand some pieces of information such as when and where a festival will take place, if the speech is slow and clear.",""
"116","JF","活動","A2","受容","音声メディアを聞く","自由時間と娯楽","Can listen on the radio a short letter from a listener describing the listener's daily life, and understand some pieces of information such as what happened, if the speech is slow and clear.",""
"117","JF","活動","B2","受容","手紙やメールを読む","自分と家族","Can read a will or farewell letter written by a grandparent and understand their last wishes, emotions, etc. without much difficulty.",""
"118","JF","活動","B2","受容","手紙やメールを読む","生活と人生","Can read a notcie from a bank or credit card company about changes in services, fees, etc., and understand the content without much difficulty.",""
"119","JF","活動","B2","受容","手紙やメールを読む","仕事と職業","Can read a letter or e-mail making a complaint about one's company's products, such as food or electrical products, and understand the content of the complaint without much difficulty.",""
"120","JF","活動","B2","受容","手紙やメールを読む","学校と教育","Can read a notice from the school one's child attends, such as descriptions of an event or an announcement about lesson content, and understand the content without much difficulty.",""
"534","JF","まるごと","活動","B1","受容","手紙やメールを読む","約束をキャンセルする知らせと、理由や謝罪の気持ちなどが、ある程度詳しく書かれた友人からのメールを読んで、大部分の内容を理解することができる。",""
"535","JF","まるごと","活動","B1","受容","手紙やメールを読む","進学・就職・結婚などについての相談が、ある程度詳しく書かれた知り合いからのメールを読んで、大部分の内容を理解することができる。",""
"536","JF","まるごと","活動","B1","受容","手紙やメールを読む","職場や学校などで経験したことと、それについての感想などが、ある程度詳しく書かれた友人からの手紙やメールを読んで、大部分の内容を理解することができる。",""
"121","JF","まるごと","活動","B1","受容","手紙やメールを読む","旅行中の出来事や感想などが、ある程度詳しく書かれた家族や友人からの手紙やメールを読んで、大部分の内容を理解することができる。",""
"122","JF","まるごと","活動","B1","受容","手紙やメールを読む","感謝の気持ちや近況などについて、ある程度詳しく書かれた友人からのお礼の手紙やメールなどを読んで、大部分の内容を理解することができる。",""
"474","JF","まるごと","活動","A2","受容","手紙やメールを読む","待ち合わせをしている友人からの遅刻を知らせる短い簡単なメールを読んで、内容を大まかに理解することができる。",""
"123","JF","活動","A2","受容","手紙やメールを読む","仕事と職業","Can read an invoice that was sent by fax or e-mail after ordering office supplies, and check if there are any mistakes in the order details.",""
"125","JF","まるごと","活動","A2","受容","手紙やメールを読む","短い簡単な文で書かれた友人からのお礼の手紙やメールなどを読んで、内容を大まかに理解することができる。",""
"124","JF","活動","A2","受容","手紙やメールを読む","旅行と交通","Can read and understand a short, simple postcard or e-mail from one's family or friends about what happened during a trip, and get a general idea of the content.",""
"126","JF","活動","A1","受容","手紙やメールを読む","仕事と職業","Can read and understand a short, simple note from a superior at work with instructions on making copies, such as ""50 copies by 16:00.""",""
"127","JF","活動","A1","受容","手紙やメールを読む","仕事と職業","Can read and understand a short, simple note such as where someone is and when he/she will return, written on, for example, a message board at the workplace.",""
"128","JF","まるごと","活動","A1","受容","手紙やメールを読む","旅先からの家族や友人の短い簡単な文で書かれたはがきやメールなどを読んで、どこへ行ったか、何をしたかを理解することができる。",""
"129","JF","まるごと","活動","A1","受容","手紙やメールを読む","友人からの年賀状や誕生日カードに書いてある「あけましておめでとうございます」「お誕生日おめでとうございます」など、定型の簡単なメッセージを読んで、理解することができる。",""
"130","JF","活動","B2","受容","必要な情報を探し出す","仕事と職業","Can look through past reports, meeting minutes, etc., and quickly find the matters that are relevant to one's current work.",""
"131","JF","活動","B2","受容","必要な情報を探し出す","学校と教育","Can look through long, complex texts from several documents and find the information necessary to determine whether they are worth reading thoroughly as reference material for writing a report or an academic paper.",""
"582","JF","まるごと","活動","B1","受容","必要な情報を探し出す","SNSのいくつかの自己紹介文に目を通して、その人の趣味や関心、自分との共通点など、フォローするかどうか決めるために必要な情報を探し出すことができる。",""
"132","JF","活動","B1","受容","必要な情報を探し出す","仕事と職業","Can look through texts of some length in, for example, a job recruitment magazine, and find the information necessary to search for a job, such as job requirements and descriptions.",""
"133","JF","まるごと","活動","B1","受容","必要な情報を探し出す","旅行雑誌やガイドブックなどの、ある程度長い文章に目を通して、名所や名物の特徴など、行き先を決めるために必要な情報を探し出すことができる。",""
"134","JF","活動","B1","受容","必要な情報を探し出す","健康","Can look through texts of some length, such as a poster about illnesses posted in a hospital, and find the information necessary to figure out whether one's symptoms fit a given description.",""
"135","JF","活動","B1","受容","必要な情報を探し出す","買い物","Can look through simple articles, such as those in a magazine or website comparing products by several different manufacturers, and find the information necessary to decide which product to buy, such as the products' features.",""
"136","JF","活動","B1","受容","必要な情報を探し出す","学校と教育","Can look through texts of some length, such as a course syllabus, and find the information necessary to choose a course, such as the course content and evaluation method.",""
"137","JF","活動","A2","受容","必要な情報を探し出す","生活と人生","Can look at short simple texts on, for example, a sign at a garbage collection site, and find the necessary information such as what day of the week one can dispose of a certain kind of garbage.",""
"138","JF","活動","A2","受容","必要な情報を探し出す","仕事と職業","Can look at short simple texts in, for example, a help-wanted ad on a store window, and find the necessary information such as work hours and pay.",""
"475","JF","まるごと","活動","A2","受容","必要な情報を探し出す","出張者のスケジュール表などの短い簡単なテクストを見て、会議や視察など、同行に必要な情報を探し出すことができる。",""
"139","JF","活動","A2","受容","必要な情報を探し出す","旅行と交通","Can look at short simple texts in, for example, a travel brochure or guide book, and find the necessary information such as facts about the major sights and stores.",""
"140","JF","活動","A2","受容","必要な情報を探し出す","健康","Can look at short simple texts on, for example, a medicine package, and find the necessary information such as dosage and administration.",""
"141","JF","活動","A2","受容","必要な情報を探し出す","買い物","Can look at short simple texts on store coupons, for example, and find the necessary information such as the coupons' expiration date and terms of use.",""
"142","JF","活動","A2","受容","必要な情報を探し出す","学校と教育","Can look at short simple texts on, for example, a school bulletin board, and find the necessary information such as lecture cancellations and classroom changes.",""
"476","JF","まるごと","活動","A2","受容","必要な情報を探し出す","学校や地域の文化祭のプログラムなどの短い簡単なテクストを見て、出し物の時間や内容など、必要な情報を探し出すことができる。",""
"143","JF","まるごと","活動","A1","受容","必要な情報を探し出す","名刺を見て、ローマ字や外国語などを手がかりに、名前や会社名などの基本的な情報を確認することができる。",""
"144","JF","まるごと","活動","A1","受容","必要な情報を探し出す","地名表示や家の表札を見て、訪問先の住所や名前が書かれたメモと同じかどうかを確認することができる。",""
"145","JF","活動","A1","受容","必要な情報を探し出す","自由時間と娯楽","Can look at a party invitation, for example, and find very basic pieces of information such as the time and place.",""
"146","JF","まるごと","活動","A1","受容","必要な情報を探し出す","地域で有名な祭りなど、催し物のポスターを見て、開催日、場所など、ごく基本的な情報を探し出すことができる。",""
"147","JF","活動","A1","受容","必要な情報を探し出す","旅行と交通","Can look at a ticket for a train, plane, etc. and find very basic pieces of information such as the departure time and seat number.",""
"148","JF","まるごと","活動","A1","受容","必要な情報を探し出す","駅などで、「タクシー乗り場」「東口」などの掲示や標識を見て、タクシー乗り場や出入り口を確認することができる。",""
"149","JF","まるごと","活動","A1","受容","必要な情報を探し出す","お店やレストランの前にある看板や表示を見て、営業時間や定休日など、ごく基本的な情報を探し出すことができる。",""
"150","JF","まるごと","活動","A1","受容","必要な情報を探し出す","店で商品の値札などを見て、値段を確認することができる。",""
"151","JF","活動","A1","受容","必要な情報を探し出す","人との関係","Can look at the addressee of a piece of mail or e-mail, etc. and check if the mail is addressed to oneself.",""
"152","JF","活動","A1","受容","必要な情報を探し出す","学校と教育","Can look at a schedule for presentations by the students in an university seminar, and check one's name and presentation date.",""
"153","JF","まるごと","活動","A1","受容","必要な情報を探し出す","海外の店の「レストランさくら」など、ごく簡単な日本語で書かれた看板を見て、ローマ字や母語などを手がかりに、行きたい店を探し出すことができる。",""
"154","JF","活動","B2","受容","情報や要点を読み取る","自由時間と娯楽","Can read a short science fiction story, for example, and understand such content as the events and the motives for the characters' actions.",""
"155","JF","活動","B2","受容","情報や要点を読み取る","自由時間と娯楽","Can read a review in a newspaper or magazine of a book on a field one is interested in, such as personal development, and understand the critique and opinions presented from the reviewer's unique point of view.",""
"156","JF","活動","B2","受容","情報や要点を読み取る","健康","Can read a general medical book or website, for example, about a disease that one or a family member has, and understand the important pieces of information such as the disease's symptoms, causes, and treatment, if one can use a dictionary to confirm the meaning of technical terms.",""
"157","JF","活動","B2","受容","情報や要点を読み取る","自然と環境","Can read a newspaper editorial about environmental issues, for example, and understand new information, the writer's position and reasoning, etc.",""
"158","JF","活動","B2","受容","情報や要点を読み取る","学校と教育","Can read an academic paper published in a journal of one's specialty, such as education and linguistics, and understand the research objectives, methodology, results, etc.",""
"537","JF","まるごと","活動","B1","受容","情報や要点を読み取る","住居や食生活について、何を大切にし、どんな選択をしているかなど、生活スタイルに関する簡単なブログなどを読んで、主要な情報を理解することができる。",""
"583","JF","まるごと","活動","B1","受容","情報や要点を読み取る","イベントなどに参加したときの出来事や感想について書かれた簡単なブログなどを読んで、主要な情報を理解することができる。",""
"159","JF","まるごと","活動","B1","受容","情報や要点を読み取る","好きなスポーツに関する簡単な新聞記事などを読んで、取り上げられている話題の主要な情報を理解することができる。",""
"584","JF","まるごと","活動","B1","受容","情報や要点を読み取る","好きな有名人やマンガなど、身近な事柄に関するランキング記事を読んで、主要な情報を理解することができる。",""
"585","JF","まるごと","活動","B1","受容","情報や要点を読み取る","短くて主張がはっきりしているものであれば、サイト上の映画レビューを読んで、主要な情報を理解することができる。",""
"538","JF","まるごと","活動","B1","受容","情報や要点を読み取る","結婚式や葬儀などの冠婚葬祭について、何を大切にし、どのように行いたいかなどに関する簡単なインタビュー記事を読んで、主要な情報を理解することができる。",""
"539","JF","まるごと","活動","B1","受容","情報や要点を読み取る","結婚相手と知り合ったきっかけや、結婚を決めた理由など、身近な事柄についてのアンケート調査の簡単な記事を読んで、主要な情報を理解することができる。",""
"586","JF","まるごと","活動","B1","受容","情報や要点を読み取る","自分が知っている地域の観光に関する簡単な新聞記事などを読んで、取り上げられている話題の主要な情報を理解することができる。",""
"587","JF","まるごと","活動","B1","受容","情報や要点を読み取る","短くて主張がはっきりしているものであれば、旅行サイト上の口コミなどを読んで、ホテルや旅館の長所・短所など、重要な情報を理解することができる。",""
"160","JF","活動","B1","受容","情報や要点を読み取る","健康","Can read simple newspaper articles or other pieces of writing about diseases currently going around, such as the flu, and understand the important pieces of information such as preventive methods and treatment.",""
"161","JF","まるごと","活動","B1","受容","情報や要点を読み取る","短くて主張がはっきりしているものであれば、サイト上の商品レビューなどを読んで、商品の長所・短所など、重要な情報を理解することができる。",""
"588","JF","まるごと","活動","B1","受容","情報や要点を読み取る","レシピサイトの料理レシピを読んで、材料や作り方、注意点などを理解することができる。",""
"162","JF","活動","B1","受容","情報や要点を読み取る","自然と環境","Can read simple newspaper articles or other pieces of writing about current environmental issues, such as CO2 reduction, and understand the important pieces of information.",""
"540","JF","まるごと","活動","B1","受容","情報や要点を読み取る","人間関係や進路などに関する悩み相談と、それに対する助言が書かれた簡単な記事などを読んで、主要な情報を理解することができる。",""
"163","JF","活動","B1","受容","情報や要点を読み取る","言語と文化","Can read and understand the plot of a comic, if the dialogue is written in simple terms.",""
"589","JF","まるごと","活動","B1","受容","情報や要点を読み取る","日本の文化や習慣に対するさまざまな意見を紹介した簡単な記事を読んで、主要な情報を理解することができる。",""
"590","JF","まるごと","活動","B1","受容","情報や要点を読み取る","歴史上の人物の紹介など、歴史に関する簡単な記事を読んで、主要な情報を理解することができる。",""
"591","JF","まるごと","活動","B1","受容","情報や要点を読み取る","地域で活躍する人などを紹介する簡単なインタビュー記事を読んで、主要な情報を理解することができる。",""
"477","JF","まるごと","活動","A2","受容","情報や要点を読み取る","動画共有サイトなどの自己紹介に対して、他の人が書いた短い簡単なコメントを読んで、内容をだいたい理解することができる。",""
"541","JF","まるごと","活動","A2","受容","情報や要点を読み取る","住居や食生活などの日常生活に関する短い簡単なブログなどを読んで、好みやその理由など、いくつかの情報を理解することができる。",""
"164","JF","活動","A2","受容","情報や要点を読み取る","自由時間と娯楽","Can read short simple newspaper articles or other pieces of writing about a favorite sport and understand some pieces of information such as the outcome of a game and a favorite player's performance.",""
"478","JF","まるごと","活動","A2","受容","情報や要点を読み取る","短い簡単な文で書かれていれば、観光地においてあるノートに書かれた旅行者のコメントを読んで、内容をだいたい理解することができる。",""
"479","JF","まるごと","活動","A2","受容","情報や要点を読み取る","ツアーの参加者がアンケートに書いた短い簡単な感想などを読んで、内容をだいたい理解することができる。",""
"480","JF","活動","A2","受容","情報や要点を読み取る","買い物","Can read short simple explanations introducing, for example, electrical goods on an online shopping website and understand some simple information, such as functions and size.",""
"481","JF","まるごと","活動","A2","受容","情報や要点を読み取る","和食の店のメニューを読んで、料理の名前や簡単な説明など、いくつかの情報を理解することができる。",""
"165","JF","活動","A2","受容","情報や要点を読み取る","学校と教育","Can read short simple articles, such as one in a school newspaper reporting about festivals and other school events, and understand some pieces of information such as turnout and descriptions of the day.",""
"166","JF","活動","A2","受容","情報や要点を読み取る","言語と文化","Can read a four-frame comic strip and mostly understand the content, if the dialogue is written in simple terms.",""
"542","JF","まるごと","活動","A2","受容","情報や要点を読み取る","外国語学習などに関する短い簡単なブログなどを読んで、効果的な方法やおすすめの教材など、いくつかの情報を理解することができる。",""
"167","JF","まるごと","活動","A1","受容","情報や要点を読み取る","ごく短い簡単な文で書かれたブログを見て、写真などを手がかりに、ブログを書いた人が何をしたか、どこへ行ったかなどを理解することができる。",""
"168","JF","活動","A1","受容","情報や要点を読み取る","買い物","Can read notices on storefront windows about when the store will be closed, etc. and understand very basic pieces of information such as the fact that the store will be closed and for how long.",""
"169","JF","まるごと","活動","A1","受容","情報や要点を読み取る","ファーストフード店やレストランなどでメニューを見て、自分が知っている食べ物や飲み物の名前など、いくつかの情報を理解することができる。",""
"170","JF","活動","A1","受容","情報や要点を読み取る","食生活","Can look at the list of ingredients on a recipe and understand what is needed and how much, if one can use a dictionary.",""
"171","JF","活動","B2","受容","説明を読む","住まいと住環境","Can read a lease agreement for an apartment and understand the conditions for moving in, special instructions, etc., if one can use a dictionary to confirm the meaning of technical terms.",""
"172","JF","活動","B2","受容","説明を読む","科学技術","Can read the site policy of a members-only website such as the ""Minna no Can-do Website"" or a recipe posting site, and understand important matters such as copyright and the protection of personal information, if one can use a dictionary to confirm the meaning of technical terms.",""
"173","JF","活動","B1","受容","説明を読む","自然と環境","Can read a simple explanation on, for example, an environmental website about the ""Eco Mark"" or other environmental labels, and understand the main pieces of information.",""
"174","JF","活動","A2","受容","説明を読む","自由時間と娯楽","Can read a short simple explanation on, for example, a signboard in a campground, and understand some pieces of information, such as prohibitions and precautions.",""
"175","JF","活動","A1","受容","説明を読む","住まいと住環境","Can look at and understand very short signs one sees in daily life, such as ""push"" ""pull"" on doors or ""entrance"" ""exit"" in buildings.",""
"176","JF","活動","B2","受容","テレビや映画を見る","自由時間と娯楽","Can watch a television program such as a documentary or talk show reporting about a cultural figure or entertainer, and understand stories describing the person's character, comments about those stories, etc.",""
"177","JF","活動","B2","受容","テレビや映画を見る","自由時間と娯楽","Can watch a movie such as a human drama or romance, follow the storyline and understand how the characters overcome conflicts and obstacles, etc.",""
"178","JF","活動","B2","受容","テレビや映画を見る","健康","Can watch a health program on television and understand commentary from specialists about the symptoms and dangers of diseases, advice on improving one's living habits, etc.",""
"179","JF","活動","B2","受容","テレビや映画を見る","社会","Can watch television news, etc. about social issues such as the paternity leave system and understand how the companies with such systems think, their reasoning for adopting them, etc.",""
"180","JF","活動","B2","受容","テレビや映画を見る","科学技術","Can watch a television documentary introducing, for example, artisan skills in art or industrial design, and understand not only the information presented but also the speaker's emotions and point of view regarding the value of those skill, issues in passing them along, etc.",""
"181","JF","活動","B1","受容","テレビや映画を見る","自由時間と娯楽","Can watch television news or other media about a favorite sport and by making use of the visuals and subtitles understand the main points of the newscaster's commentary.",""
"182","JF","まるごと","活動","B1","受容","テレビや映画を見る","観光地紹介のテレビ番組などを見て、映像やテロップを頼りに、取り上げられているテーマの主要な点を理解することができる。",""
"183","JF","活動","B1","受容","テレビや映画を見る","健康","Can watch television news or other media about diseases currently going around, such as the flu, and by making use of the visuals and subtitles understand the main pieces of information, such as preventive methods and treatment.",""
"184","JF","活動","B1","受容","テレビや映画を見る","食生活","Can watch a cooking show on television, for example, and by making use of the visuals and subtitles understand the main pieces of information such as recipes and tips.",""
"185","JF","活動","B1","受容","テレビや映画を見る","自然と環境","Can watch television news or other media about environmental problems one is familiar with, such as global warming, and by making use of the visuals and subtitles understand the main points about the issues that are mentioned.",""
"186","JF","活動","B1","受容","テレビや映画を見る","言語と文化","Can watch a television program, for example, introducing the tea ceremony, kabuki and other aspects of traditional Japanese culture, fo example, and by making use of the visuals and subtitles understand the main pieces of information such as the rules of behavior and history.",""
"592","JF","まるごと","活動","B1","受容","テレビや映画を見る","自分の関心のあるテレビニュースなどを見て、映像やテロップを頼りに、いつどこで、何が起こって、どうなったのかなど、主要な情報を理解することができる。",""
"187","JF","活動","A2","受容","テレビや映画を見る","自由時間と娯楽","Can watch television news or other media about a favorite sport and get a general idea of the content, such as the outcome of a game and a favorite player's performance.",""
"188","JF","活動","A2","受容","テレビや映画を見る","旅行と交通","Can watch a television program introducing a sightseeing area, for example, and get a general idea of the content, such as famous sights, local specialties, etc.",""
"189","JF","活動","A2","受容","テレビや映画を見る","健康","Can watch television news or other media about diseases currently going around, such as the flu, and get a general idea of the content, such as the name of the disease and current situation.",""
"190","JF","活動","A2","受容","テレビや映画を見る","言語と文化","Can watch a television program about the tea ceremony, kabuki and other aspects of traditional Japanese culture, for example, and understand their general characteristics.",""
"191","JF","活動","B2","やりとり","社交的なやりとりをする","生活と人生","Can take part in a long conversation with other parents about a range of topics such as the difficulties of raising children, information about the local area and rumours about people one knows, in, for example, a local park while one's children are playing.",""
"192","JF","活動","B2","やりとり","社交的なやりとりをする","仕事と職業","Can answer questions, mentioning difficulties and ambitions, about a range of different topics such as one's work history, one's speciality and one's experience, at, for example, a welcome party at one's new company.",""
"193","JF","活動","B2","やりとり","社交的なやりとりをする","人との関係","Can participate in a long conversation about a variety of topics such as the old school days, each other's recent news, gossip about common friends, etc. during, for example, a bustling stand-up dinner party at a class reunion.",""
"194","JF","活動","B2","やりとり","社交的なやりとりをする","人との関係","Can talk with friends or coworkers about complaints about one's work or human relationships, as well as things one is pleased with, while emphasizing points that are important to oneself.",""
"195","JF","活動","B2","やりとり","社交的なやりとりをする","言語と文化","Can answer questions, mentioning difficulties and ambitions, about a range of different topics, such as one's experiences in Japan and studying Japanese, and one's plans while in Japan, after doing a simple self introduction at one's homestay home.",""
"197","JF","活動","B1","やりとり","社交的なやりとりをする","自由時間と娯楽","Can congratulate a friend who won a competition, a sports tournament, etc., while praising his/her effort and expressing one's opinion that one expects him/her to continue performing well in the future.",""
"543","JF","まるごと","活動","B1","やりとり","社交的なやりとりをする","待ち合わせの時間に遅れたり、約束を守れなかったりしたとき、友人にある程度詳しく理由を説明しながら、謝ることができる。",""
"200","JF","まるごと","活動","B1","やりとり","社交的なやりとりをする","久しぶりに会った友人と近況の報告をし合うとき、相手の話を聞いて、驚き、喜び、悲しみなどの共感を示すコメントをすることができる。",""
"198","JF","活動","B1","やりとり","社交的なやりとりをする","健康","Can congratulate a friend who has just had a baby while asking simple questions and making simple comments about the child's future, the joy of parenting, etc. when one visits her in hospital.",""
"196","JF","まるごと","活動","B1","やりとり","社交的なやりとりをする","パーティーや新しいサークルなどで初めて会った人に話しかけ、趣味や仕事など身近な話題について質問したり、質問にある程度詳しく答えたりして、会話を続けることができる。",""
"199","JF","まるごと","活動","B1","やりとり","社交的なやりとりをする","友人の家で、友人の家族などと、自分の近況などについて、自分の気持ちも交えて話すことができる。",""
"201","JF","活動","B1","やりとり","社交的なやりとりをする","学校と教育","Can talk in short simple terms to an university professor one meets in a school elevator, for example, about one's recent news and other topics, including one's feelings about them.",""
"482","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","パーティーや新しいサークルなどで初めて会った人と、趣味や暇なときにすることについて、短い簡単な言葉で話すことができる。",""
"483","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","待ち合わせの時間に遅れたり、約束を守れなかったりしたとき、友人に短い簡単な言葉で理由を言って謝ることができる。",""
"484","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","団体旅行に参加したとき、他の参加者に、その観光地に初めて来たのかなど、短い簡単な言葉で話しかけることができる。",""
"544","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","スポーツ観戦中などに、「もっと走って」「行け、あきらめるな」など、応援しているチームに対して、短い簡単な言葉で声をかけることができる。",""
"202","JF","活動","A2","やりとり","社交的なやりとりをする","仕事と職業","Can invite teachers or other staff for a meal, in short simple terms after an event such as a workshop or seminar.",""
"485","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","遠方からの客を迎えたとき、基本的な挨拶をし、フライトはどうだったかなど、短い簡単な言葉で質問したり、質問に答えたりすることができる。",""
"486","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","訪問した会社を出るとき、短い簡単な言葉で丁寧なお礼や別れの言葉を言うことができる。",""
"487","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","体調が悪そうな友人に、「どうしたんですか」など短い簡単な言葉で声をかけることができる。",""
"488","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","雑誌やサイトなどを見ている友人に、「何を見ているんですか」「何か買うんですか」など、短い簡単な言葉で話しかけることができる。",""
"489","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人や同僚と一緒に食事をしているとき、食べ物の味や見た目について、「辛くておいしいですね」「～に似ています」など、短い簡単な言葉で感想を述べ合うことができる。",""
"490","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","会食やパーティーなどで、飲み物や食べ物を勧められたとき、短い簡単な言葉でコメントを加えて応じたり、断ったりすることができる。",""
"491","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人とのおしゃべりで、好きな季節やその理由について、短い簡単な言葉で話すことができる。",""
"492","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人や近所の人に挨拶をするとき、その日の気温や天気について、短い簡単な言葉で話すことができる。",""
"493","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","離れて住んでいる友人と電話で話すとき、はじめに最近の気候について短い簡単な言葉で話すことができる。",""
"203","JF","活動","A2","やりとり","社交的なやりとりをする","人との関係","Can greet with basic expressions a friend's family, etc. at their home, and talk in short simple terms about one's recent news and other topics.",""
"494","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人に持ち物や服などをほめられたとき、「古い着物をスカートにしたんです」「父にもらったんです」など、短い簡単な言葉でエピソードを話すことができる。",""
"495","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人にプレゼントをもらったとき、「素敵な～ですね。大切にします」など、自分の気持ちを交えて、短い簡単な言葉でお礼を言うことができる。",""
"545","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","友人とのおしゃべりで、共通の知り合いの様子について、「ちょっと心配ですね」「調子がよさそうですね」など、短い簡単な言葉で話すことができる。",""
"204","JF","活動","A2","やりとり","社交的なやりとりをする","学校と教育","Can greet with basic expressions an university professor one meets in a school elevator, for example, and talk in short simple terms about one's recent news and other topics.",""
"496","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","道に迷うなど困った様子の人に、「大丈夫ですか」「一緒に行きましょうか」など、短い簡単な言葉で話しかけることができる。",""
"497","JF","まるごと","活動","A2","やりとり","社交的なやりとりをする","正月休み明けに友人と、基本的な正月の挨拶をし、休み中何をしたか、どうだったかなど、短い簡単な言葉で話すことができる。",""
"205","JF","活動","A1","やりとり","社交的なやりとりをする","自分と家族","Can ask or answer a friend about who is in the photo or where it was taken, while looking at the photos displayed in the room.",""
"206","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人と家族写真を見せ合いながら、家族の仕事や年齢などを簡単な言葉でたずねたり、答えたりすることができる。",""
"207","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","飲み物を勧めたり、勧められたりするとき、「お茶、どうぞ」「いただきます」などの基本的な挨拶を交わすことができる。",""
"208","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人や近所の人に、夏休みや年末年始などの休暇にどこかに行くかたずねたり、答えたりすることができる。",""
"209","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","パーティーやイベントで初めて会った人に、名前、出身、仕事などをたずねたり、答えたりすることができる。",""
"210","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","お見合いパーティーなどで初めて会った人に、趣味は何か、簡単な言葉でたずねたり、答えたりすることができる。",""
"211","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","お見合いパーティーなどで初めて会った人に、休みの日に何をするか、簡単な言葉でたずねたり、答えたりすることができる。",""
"212","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人や近所の人に、休みの日にどこへ行ったかたずねたり、「楽しかったです」などの簡単な感想を交えながら、答えたりすることができる。",""
"213","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人や近所の人に、イベントに参加した感想をたずねたり、「よかったです」などの簡単な言葉で答えたりすることができる。",""
"214","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人とのおしゃべりで、起きる時間や寝る時間を簡単な言葉でたずねたり、答えたりすることができる。",""
"215","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人と一緒に買い物をしているとき、「かわいい」「ほしいな」など、短い簡単な言葉で感想を言うことができる。",""
"216","JF","活動","A1","やりとり","社交的なやりとりをする","食生活","Can make simple comments such as ""this is good"" or ask for comments while sharing a meal with a friend.",""
"217","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","立食パーティーなどで、友人や同僚と、「何が好きですか」「肉が好きです」など、食事の好みを簡単な言葉でたずねたり、答えたりすることができる。",""
"218","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","立食パーティーなどで、「コーヒー飲みますか」など簡単な言葉で友人に飲み物を勧めたり、「はい、お願いします」「いいえ、結構です」などと答えたりすることができる。",""
"219","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","友人とのおしゃべりで、朝ごはんを食べるか、何を飲むかなど、友人に簡単な言葉でたずねたり、答えたりすることができる。",""
"220","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can make basic greetings appropriate to the time of day to a friend or a neighbor.",""
"221","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can greet a friend or a neighbor by mentioning the day's weather with basic expressions such as ""it's a fine day today"" ""it's hot, isn't it?""",""
"222","JF","まるごと","活動","A1","やりとり","社交的なやりとりをする","助けてもらったり、親切にされたりしたとき、「ありがとうございます」などのお礼の言葉を言うことができる。",""
"223","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can apologize using expressions such as ""I'm sorry"" when one was late or caused trouble.",""
"224","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can ask for the pet's name or praise the pet with simple expressions such as ""how cute"" when running into a friend or a neighbor with a pet while taking a walk.",""
"225","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can welcome a visitor to one's place of work using expressions such as ""Welcome"" and ""Sorry to keep you waiting, when one goes to meet him/her.",""
"226","JF","活動","A1","やりとり","社交的なやりとりをする","人との関係","Can offer a friend a seat and respond when offered a seat using short, simple terms such as ""Have a seat"" and ""Thank you very much"", when a friend visits one's home.",""
"227","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","自由時間と娯楽","Can engage in an animated discussion with friends or family while forming hypotheses, predicting future developments, countering others' opinions and giving one's reasoning, etc. about, for example, the content of a television police drama.",""
"228","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","仕事と職業","Can state one's ideas and their reasoning to coworkers and appropriately respond to the others' opinions, when making a proposal about, for example, changing a textbook, during recess at school or other workplace.",""
